id,postId,views,reach,likes,reposts,comments,clicksToLink,system
312,357,16816,12522,456,0,16,,ig
311,356,13092,9679,456,0,2,,ig
310,355,22475,11729,641,0,38,,ig
309,354,11155,8399,218,0,1,,ig
308,353,15672,8387,264,0,8,,ig
307,352,17174,12335,526,0,23,,ig
306,351,12424,8928,181,0,18,,ig
305,350,13327,6860,318,0,1,,ig
304,349,16740,8588,225,0,12,,ig
303,348,17078,12406,127,0,10,,ig
302,347,14550,10767,119,0,24,,ig
301,346,43334,24070,1179,0,58,,ig
300,345,20520,10885,527,0,10,,ig
299,344,12991,6502,200,0,2,,ig
298,343,12017,9288,277,0,16,,ig
297,342,15042,10794,228,0,19,,ig
296,341,12221,9316,346,0,4,,ig
295,340,22916,11988,519,0,25,,ig
294,339,24313,18634,544,0,12,,ig
293,338,24562,13247,508,0,14,,ig
292,337,38222,20073,749,0,24,,ig
291,336,25513,17972,678,0,10,,ig
290,335,18396,13630,542,0,4,,ig
289,334,31316,17059,700,0,12,,ig
288,333,13897,10240,204,0,1,,ig
287,332,18895,9709,389,0,3,,ig
286,331,10462,7966,155,0,0,,ig
285,330,22721,12444,212,0,14,,ig
284,329,28916,17169,824,0,17,,ig
283,328,16366,8660,295,0,9,,ig
282,327,19475,9675,242,0,20,,ig
281,326,24689,13243,586,0,18,,ig
280,325,17508,13328,193,0,22,,ig
279,324,12092,8984,322,0,9,,ig
278,323,14558,10602,378,0,19,,ig
277,322,19226,14699,403,0,30,,ig
276,321,16550,12781,198,0,19,,ig
275,320,23542,18408,458,0,19,,ig
274,319,13348,10298,188,0,5,,ig
273,318,12811,9788,169,0,3,,ig
272,317,13932,10663,278,0,5,,ig
271,316,13172,10012,193,0,6,,ig
270,315,16577,12671,407,0,7,,ig
269,314,12416,9809,290,0,17,,ig
268,313,14724,11346,253,0,10,,ig
267,312,16332,12511,314,0,10,,ig
266,311,12687,6249,134,0,0,,ig
265,310,21925,16358,260,0,45,,ig
264,309,11305,9033,91,0,3,,ig
263,308,14153,11132,152,0,4,,ig
262,307,18601,14305,250,0,24,,ig
5885,5884,1641,578,0,0,0,5,ok
5884,5883,1731,627,1,0,0,6,ok
5883,5882,1799,651,3,0,0,1,ok
5882,5881,1758,659,4,0,0,5,ok
5881,5880,1638,571,1,0,0,3,ok
5880,5879,1693,607,0,0,0,2,ok
5879,5878,1607,616,3,0,0,2,ok
5878,5877,1496,564,1,0,0,5,ok
5877,5876,1382,533,1,0,0,2,ok
5876,5875,1140,402,2,0,0,3,ok
5875,5874,1183,413,0,0,0,2,ok
5874,5873,1252,460,3,0,0,3,ok
5873,5872,1247,445,0,0,0,4,ok
5872,5871,1342,522,4,0,0,0,ok
5871,5870,1158,443,1,0,0,9,ok
5870,5869,1352,527,3,0,0,4,ok
5869,5868,1206,462,0,0,0,1,ok
5868,5867,1274,486,0,0,0,10,ok
5867,5866,1273,486,1,0,0,4,ok
5866,5865,1310,463,1,0,0,5,ok
5865,5864,1342,502,0,0,0,0,ok
5864,5863,1231,442,0,0,0,0,ok
5863,5862,1269,470,0,0,0,4,ok
5862,5861,1272,468,2,0,0,3,ok
5861,5860,1316,487,0,0,0,2,ok
5860,5859,1340,517,2,0,0,4,ok
5859,5858,1336,487,0,0,0,4,ok
5858,5857,1416,527,3,0,0,0,ok
5857,5856,1475,566,1,0,0,0,ok
